School,Year,Racial/Ethnicity,"Degree-seeking
First-time First
year",Degree-seeking Undergraduates (include first-time first-year,Total Undergraduates (both degree and non-degree seeking),Notes to delete
Pomona,2024,International (nonresidents),55,217,227,- 2023-2024 -> 2024
Pomona,2024,Hispanic/Latino ,76,285,286,https://www.pomona.edu/administration/institutional-research/information-center/common-data-set
Pomona,2024,"Black or African American, non-Hispanic",41,178,178,
Pomona,2024,"White, non-Hispanic",112,524,529,
Pomona,2024,"American Indian or Alaska Native, non-Hispanic",0,0,0,
Pomona,2024,"Asian, non-Hispanic",73,304,311,
Pomona,2024,"Native Hawaiian or other Pacific Islander, non Hispanic",3,10,10,
Pomona,2024,"Two or more races, non-Hispanic",40,160,162,
Pomona,2024,Race and/or ethnicity unknown,8,57,58,
Pomona,2023,International (nonresidents),54,205,212,
Pomona,2023,Hispanic/Latino ,67,283,284,
Pomona,2023,"Black or African American, non-Hispanic",58,173,173,
Pomona,2023,"White, non-Hispanic",107,572,574,
Pomona,2023,"American Indian or Alaska Native, non-Hispanic",0,4,4,
Pomona,2023,"Asian, non-Hispanic",74,311,315,
Pomona,2023,"Native Hawaiian or other Pacific Islander, non Hispanic",2,8,8,
Pomona,2023,"Two or more races, non-Hispanic",36,148,148,
Pomona,2023,Race and/or ethnicity unknown,14,70,73,
Pomona,2022,International (nonresidents),65,192,200,
Pomona,2022,Hispanic/Latino ,68,280,281,
Pomona,2022,"Black or African American, non-Hispanic",32,154,154,
Pomona,2022,"White, non-Hispanic",148,599,602,
Pomona,2022,"American Indian or Alaska Native, non-Hispanic",1,5,5,
Pomona,2022,"Asian, non-Hispanic",69,303,305,
Pomona,2022,"Native Hawaiian or other Pacific Islander, non Hispanic",4,8,8,
Pomona,2022,"Two or more races, non-Hispanic",48,142,142,
Pomona,2022,Race and/or ethnicity unknown,16,64,67,
Pomona,2021,International (nonresidents),42,160,163,
Pomona,2021,Hispanic/Latino ,66,271,271,
Pomona,2021,"Black or African American, non-Hispanic",43,158,158,
Pomona,2021,"White, non-Hispanic",122,439,444,
Pomona,2021,"American Indian or Alaska Native, non-Hispanic",0,2,2,
Pomona,2021,"Asian, non-Hispanic",79,269,270,
Pomona,2021,"Native Hawaiian or other Pacific Islander, non Hispanic",0,5,5,
Pomona,2021,"Two or more races, non-Hispanic",30,104,104,
